categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;18:32:42;1;MONSERRAT;;717;-34.617074132872894;-58.38160677305161;GCS Web;Femenino;Cerrado;23/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;14:40:00;8;VILLA LUGANO;;4060;-34.6776771080069;-58.4845959347192;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;09:55:35;15;VILLA CRESPO;;151;-34.60263543332;-58.4359962146614;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;01:19:25;14;PALERMO;;4818;-34.5802342472095;-58.4255954677829;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;14:17:55;14;PALERMO;;1216;-34.590037946094;-58.4360041401919;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;16:20:52;15;PATERNAL;;2540;-34.5975785763743;-58.459565774718;GCS Web;Otros;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;01:15:19;8;VILLA RIACHUELO;;6950;-34.6976613466848;-58.4694500726945;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;19:35:53;15;VILLA ORTUZAR;;1059;-34.5843135800041;-58.4694808497048;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;10:31:53;7;FLORES;;731;-34.619015953993696;-58.461952825320104;App BA 147;Femenino;Cerrado;21/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;11:26:07;3;BALVANERA;;2094;-34.616033789749;-58.3959788464573;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;21:13:07;1;PUERTO MADERO;;700;-34.611482766960805;-58.3591622012497;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;23:34:53;11;VILLA DEL PARQUE;;3187;-34.602103527755396;-58.494494951658204;App BA 147;Masculino;Abierto;;
