,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
3032,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,09:57:41,6,CABALLITO,FRAGATA PRES. SARMIENTO,1033.0,-34.6123603016609,-58.4543955465166,GCS Web,Femenino,Abierto,,
3033,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,22:38:30,14,PALERMO,"SCALABRINI ORTIZ, RAUL",3136.0,-34.5805042606283,-58.410274868673,GCS Web,Femenino,Abierto,,
3034,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,11:27:27,6,CABALLITO,YERBAL,582.0,-34.6181251763398,-58.4392582524972,GCS Web,Masculino,Abierto,,
3035,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,16:07:10,13,BELGRANO,MONROE,2532.0,-34.5591610842535,-58.4612731450323,GCS Web,Masculino,Abierto,,
3036,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,18:12:15,2,RECOLETA,SANCHEZ DE BUSTAMANTE,1340.0,-34.5947259202076,-58.4127016198197,GCS Web,Masculino,Abierto,,
3037,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,16:54:57,6,CABALLITO,"IBARBOUROU, JUANA DE",1037.0,-34.6044353332058,-58.4346954532891,GCS Web,Masculino,Abierto,,
3038,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,08:12:45,13,COLEGIALES,"OLAGUER Y FELIU, VIRREY",2473.0,-34.5673744620619,-58.4525457522606,App BA 147,Femenino,Abierto,,
3039,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,21:02:00,2,RECOLETA,"LOPEZ, VICENTE",2281.0,-34.5871665539399,-58.3958678569924,App BA 147,Femenino,Abierto,,
3040,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-08-18,08:31:52,14,PALERMO,COSTA RICA,4933.0,-34.5864958505968,-58.429427734009,App BA 147,Femenino,Cerrado,18/08/2021,00:00:00
3041,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES,Denuncia,2021-08-18,15:21:49,12,VILLA URQUIZA,ALTOLAGUIRRE,2532.0,-34.5756922657453,-58.4919856584529,GCS Web,Femenino,Cerrado,19/08/2021,00:00:00
3042,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,10:16:07,15,VILLA CRESPO,MALABIA,465.0,-34.5984970477062,-58.4389046543427,Mail 147,Femenino,Cerrado,26/08/2021,00:00:00
3043,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,19:26:09,14,PALERMO,SANTA FE AV.,4002.0,-34.5823140521792,-58.4202587456146,GCS Web,Masculino,Cerrado,25/08/2021,00:00:00
3044,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,13:27:42,3,SAN CRISTOBAL,INDEPENDENCIA AV.,1994.0,-34.618374562488,-58.3942828673302,GCS Web,Femenino,Cerrado,19/08/2021,00:00:00
